From,To,Times
Espoo,Espoo,14373
Espoo,Hameenlinna,5
Espoo,Helsinki,8242
Espoo,Jarvenpaa,11
Espoo,Joensuu,149
Espoo,Jyvaskyla,267
Espoo,Kotka,1
Espoo,Kuopio,756
Espoo,Lahti,18
Espoo,Lappeenranta,137
Espoo,Lohja,11
Espoo,Mikkeli,8
Espoo,Other,7632
Espoo,Oulu,657
Espoo,Pori,1
Espoo,Porvoo,65
Espoo,Tampere,814
Espoo,Turku,2211
Espoo,Vaasa,17
Espoo,Vantaa,87
Hameenlinna,Espoo,7
Hameenlinna,Hameenlinna,295
Hameenlinna,Helsinki,147
Hameenlinna,Jyvaskyla,16
Hameenlinna,Kuopio,109
Hameenlinna,Lahti,10
Hameenlinna,Other,139
Hameenlinna,Oulu,25
Hameenlinna,Tampere,146
Hameenlinna,Turku,47
Hameenlinna,Vaasa,1
Helsinki,Espoo,12728
Helsinki,Hameenlinna,146
Helsinki,Helsinki,1285408
Helsinki,Jarvenpaa,13
Helsinki,Joensuu,1539
Helsinki,Jyvaskyla,37978
Helsinki,Kotka,149
Helsinki,Kuopio,15293
Helsinki,Lahti,671
Helsinki,Lappeenranta,493259
Helsinki,Lohja,12
Helsinki,Mikkeli,209
Helsinki,Nurmijarvi,1
Helsinki,Other,17932
Helsinki,Oulu,23529
Helsinki,Pori,225
Helsinki,Porvoo,106
Helsinki,Rauma,29
Helsinki,Tampere,18384
Helsinki,Turku,19235
Helsinki,Vaasa,5040
Helsinki,Vantaa,1528
Jarvenpaa,Espoo,8
Jarvenpaa,Jarvenpaa,6
Jarvenpaa,Lappeenranta,1
Jarvenpaa,Other,27
Joensuu,Espoo,214
Joensuu,Helsinki,1438
Joensuu,Joensuu,5138
Joensuu,Jyvaskyla,493
Joensuu,Kotka,23
Joensuu,Kuopio,704
Joensuu,Lahti,1
Joensuu,Lappeenranta,57
Joensuu,Mikkeli,23
Joensuu,Other,910
Joensuu,Oulu,452
Joensuu,Pori,26
Joensuu,Porvoo,43
Joensuu,Tampere,300
Joensuu,Turku,377
Joensuu,Vaasa,33
Joensuu,Vantaa,380
Jyvaskyla,Espoo,319
Jyvaskyla,Hameenlinna,7
Jyvaskyla,Helsinki,37852
Jyvaskyla,Joensuu,449
Jyvaskyla,Jyvaskyla,129314
Jyvaskyla,Kotka,47
Jyvaskyla,Kuopio,1590
